iter	Passed	Remaining
1052	228443	205447
1053	228638	205211
1054	228930	205060
1055	229093	204795
1056	229277	204549
1057	229458	204300
1058	229661	204071
1059	229918	203890
1060	230143	203679
1061	230317	203425
1062	230520	203195
1063	230718	202962
1064	230885	202702
1065	231160	202536
1066	231393	202334
1067	231615	202120
1068	231862	201930
1069	232070	201705
1070	232372	201563
1071	232574	201333
1072	232816	201138
1073	233053	200937
1074	233263	200715
1075	233553	200561
1076	233748	200325
1077	233980	200120
1078	234153	199866
1079	234385	199661
1080	234712	199538
1081	234905	199300
1082	235102	199066
1083	235280	198816
1084	235489	198592
1085	235658	198334
1086	235954	198184
1087	236160	197957
1088	236385	197747
1089	236653	197572
1090	236863	197350
1091	237170	197207
1092	237335	196946
1093	237516	196700
1094	237713	196466
1095	237956	196270
1096	238316	196171
1097	238541	195960
1098	238719	195710
1099	238891	195456
1100	239076	195213
1101	239294	194996
1102	239548	194809
1103	239779	194603
1104	239998	194387
1105	240177	194139
1106	240384	193914
1107	240633	193723
1108	240835	193493
1109	240994	193229
1110	241182	192989
1111	241384	192760
1112	241596	192539
1113	241854	192355
1114	242076	192141
1115	242247	191888
1116	242465	191671
1117	242752	191509
1118	243243	191507
1119	243434	191269
1120	243636	191040
1121	243863	190830
1122	244128	190650
1123	244408	190482
1124	244596	190241
1125	244857	190057
1126	245099	189859
1127	245306	189634
1128	245598	189473
1129	245790	189237
1130	245978	188996
1131	246203	188785
1132	246384	188539
1133	246563	188292
1134	246804	188093
1135	247010	187867
1136	247257	187672
1137	247460	187443
1138	247677	187225
1139	247931	187035
1140	248130	186804
1141	248301	186552
1142	248494	186316
1143	248663	186063
1144	248846	185820
1145	249123	185647
1146	249320	185414
1147	249511	185177
1148	249694	184935
1149	249864	184682
1150	250110	184486
1151	250418	184335
1152	250643	184124
1153	250809	183869
1154	250999	183631
1155	251181	183388
1156	251530	183267
1157	251709	183021
1158	251896	182782
1159	252063	182528
1160	252261	182297
1161	252499	182095
1162	252814	181948
1163	253019	181721
1164	253245	181510
1165	253461	181292
1166	253650	181055
1167	253960	180903
1168	254169	180679
1169	254384	180460
1170	254577	180225
1171	254755	179980
1172	255146	179885
1173	255469	179742
1174	255683	179522
1175	255885	179293
1176	256151	179110
1177	256473	178965
1178	256665	178729
1179	256854	178492
1180	257062	178268
1181	257257	178034
1182	257522	177849
1183	257725	177621
1184	257923	177390
1185	258111	177152
1186	258293	176910
1187	258463	176660
1188	258728	176475
1189	258941	176254
1190	259150	176030
1191	259358	175806
1192	259550	175571
1193	259784	175365
1194	260096	175211
1195	260358	175023
1196	260620	174835
1197	260844	174622
1198	261169	174475
1199	261400	174267
1200	261646	174068
1201	261833	173829
1202	262068	173622
1203	262321	173428
1204	262514	173194
1205	262743	172983
1206	262971	172772
1207	263155	172532
1208	263298	172265
1209	263551	172070
1210	263744	171836
1211	263919	171591
1212	264091	171344
1213	264259	171094
1214	264543	170919
1215	264837	170750
1216	265022	170511
1217	265200	170268
1218	265362	170014
1219	265509	169752
1220	266059	169746
1221	266259	169517
1222	266467	169292
1223	266704	169087
1224	266936	168878
1225	267305	168755
1226	267541	168549
1227	267802	168358
