iter	MAPE	RMSE	R2	MAE
341	0.08869574661	214017.8175	0.9922508474	100411.9218
342	0.08869955171	213964.8912	0.9922546797	100423.8713
343	0.08844835198	213789.4556	0.9922673757	100234.234
344	0.08843180201	213771.8538	0.9922686489	100225.6911
345	0.08834317844	213711.1746	0.9922730374	100194.4319
346	0.08823779903	213645.6309	0.9922777762	100136.3485
347	0.08821926337	213544.6179	0.9922850768	100051.4944
348	0.08817031853	213212.3266	0.9923090681	99913.26086
349	0.08815320174	212892.9451	0.9923320921	99824.0588
350	0.08802022496	212725.4163	0.9923441553	99617.99407
351	0.08793683409	212266.5837	0.9923771459	99331.46915
352	0.0879027484	212159.763	0.9923848161	99269.88946
353	0.0877348824	212093.0533	0.9923896043	99066.85936
354	0.08771132117	212077.8261	0.992390697	99055.60935
355	0.08761843876	211768.7251	0.9924128618	98814.86726
356	0.08757332519	211630.9891	0.9924227281	98768.09456
357	0.08757078817	211520.3118	0.9924306514	98730.34314
358	0.08755716218	211381.247	0.9924406011	98663.1244
359	0.08752615182	210904.1761	0.9924746846	98564.63715
360	0.0875001886	210860.3556	0.9924778114	98561.44197
361	0.08736127723	210790.2983	0.992482809	98505.18859
362	0.08728658071	210514.3668	0.9925024766	98379.08256
363	0.08724583959	210387.2772	0.9925115265	98282.50375
364	0.08721724623	210183.7594	0.9925260074	98182.774
365	0.08718399177	210057.9068	0.9925349552	98134.88905
366	0.08709018129	209849.2905	0.9925497755	98100.62719
367	0.08708432828	209684.6101	0.9925614641	98069.59157
368	0.08671779301	209558.5727	0.9925704037	97862.48933
369	0.08663908759	209351.0277	0.9925851129	97705.00665
370	0.0866606838	209203.5468	0.9925955563	97631.38071
371	0.0863984842	208945.6528	0.9926138006	97297.87774
372	0.08630187017	208755.2371	0.9926272568	97116.90011
373	0.0862850041	208701.7918	0.9926310314	97084.32723
374	0.08626941992	208443.1958	0.9926492814	97018.57655
375	0.08616269187	208377.4057	0.9926539209	96970.85477
376	0.08609430478	208127.803	0.9926715092	96848.56213
377	0.08607534353	207976.2519	0.992682178	96768.32165
378	0.08596737949	207892.6357	0.992688061	96657.1331
379	0.08588375502	207842.5511	0.9926915837	96601.34433
380	0.08586407287	207603.885	0.9927083586	96469.99717
381	0.08554759218	207166.929	0.9927390206	96175.14517
382	0.08542015428	207089.9589	0.992744415	96035.03778
383	0.08540081036	206920.5668	0.9927562798	95959.31036
384	0.08537358734	206584.7513	0.9927797726	95834.87689
385	0.08523925347	206338.3862	0.9927969835	95721.86455
386	0.08520400147	206075.8524	0.9928153013	95623.17877
387	0.08518604824	205872.7494	0.9928294564	95543.91979
388	0.08514159064	205720.4052	0.9928400648	95530.43724
389	0.08510540557	205527.3539	0.9928534965	95438.7687
390	0.08505616555	205421.4356	0.9928608605	95375.63976
391	0.08506493727	205367.2718	0.9928646248	95337.01454
392	0.08504648117	205330.4644	0.9928671822	95323.0078
393	0.08504887956	205184.7639	0.9928773014	95307.84356
394	0.08497493916	204894.7128	0.9928974246	95185.71357
395	0.08482641798	204800.627	0.992903946	95142.66826
396	0.08475020832	204663.5107	0.9929134446	95064.73684
397	0.08469681384	204568.3324	0.9929200342	95034.24668
398	0.08459538322	204173.9057	0.9929473095	94802.03179
399	0.08459269859	204022.802	0.9929577447	94761.50211
400	0.08455517723	203848.5624	0.992969768	94713.55869
401	0.08453805839	203778.4763	0.9929746014	94660.9349
402	0.08441176142	203634.1563	0.9929845489	94519.09187
403	0.08440015004	203602.5221	0.9929867284	94518.32741
404	0.08440222122	203492.4149	0.9929943119	94507.66904
405	0.08439566216	203168.3151	0.9930166098	94403.4276
406	0.08427588891	202992.1328	0.9930287162	94317.97792
407	0.08420878996	202933.5968	0.9930327362	94265.49314
408	0.08419609405	202856.8819	0.9930380029	94205.98188
409	0.08414319983	202810.1227	0.993041212	94208.44396
410	0.08404813804	202733.094	0.993046497	94106.29887
411	0.08390248223	202458.3034	0.9930653342	93877.29044
412	0.08390481444	202363.8118	0.9930718058	93873.61617
413	0.08385833634	202199.8855	0.9930830257	93781.38068
414	0.0838283153	202049.5333	0.9930933086	93737.61544
415	0.08379760375	201978.4777	0.9930981655	93742.57692
416	0.08375544584	201786.4845	0.9931112806	93623.29355
417	0.08375452675	201602.0316	0.9931238687	93638.95279
418	0.08361976599	201498.0695	0.9931309587	93502.92141
419	0.08356757347	201444.3548	0.9931346204	93493.01062
420	0.08353888797	201244.0054	0.9931482698	93364.16424
421	0.08342181699	201011.17	0.9931641152	93177.12469
422	0.08335511012	200796.4459	0.9931787119	93136.42437
423	0.08329943105	200759.8542	0.9931811978	93130.28038
424	0.08325724362	200650.992	0.9931885908	93084.88085
425	0.08322379467	200540.0655	0.9931961199	93017.71967
426	0.08310898925	200220.7309	0.9932177712	92808.0228
427	0.08303132547	199955.2683	0.9932357437	92671.40273
428	0.08281940007	199832.5852	0.9932440417	92555.06438
429	0.0826600463	199516.6294	0.9932653885	92330.28652
430	0.08268336355	199445.7516	0.9932701725	92299.23679
431	0.08266429981	199292.9763	0.9932804787	92248.73183
432	0.08259673587	199235.2133	0.9932843733	92214.77077
433	0.08245776201	199119.5394	0.9932921691	92047.23041
434	0.082428003	198988.2978	0.9933010086	92019.10078
435	0.0824135809	198964.1698	0.993302633	92007.90888
436	0.08225676237	198858.0742	0.9933097737	91813.15181
437	0.08225547837	198377.9104	0.9933420432	91692.84469
438	0.08205290304	198274.9247	0.9933489542	91532.89843
439	0.08198040288	198063.1407	0.993363155	91412.17815
440	0.08194376199	197999.6202	0.9933674113	91357.66346
441	0.08183320032	197669.6539	0.9933894993	91108.97454
442	0.08178338675	197529.5523	0.9933988666	91056.77669
443	0.08172640348	197366.885	0.9934097343	90972.86498
444	0.08156585536	197256.3305	0.9934171153	90924.43464
445	0.08154762776	197210.8135	0.9934201529	90887.62073
446	0.08153034197	197154.0885	0.9934239376	90861.87829
447	0.08154614838	196971.4095	0.9934361185	90813.91688
448	0.08145310495	196807.598	0.9934470316	90649.79642
449	0.08140341027	196624.6889	0.9934592064	90554.27081
450	0.08137918077	195879.7541	0.9935086736	90392.67725
451	0.08136606345	195666.9303	0.9935227716	90353.00192
452	0.08117071399	195521.738	0.9935323807	90185.06494
453	0.08112400859	195388.7417	0.9935411764	90115.33033
454	0.08111430217	195368.6867	0.9935425022	90104.86278
455	0.0810049621	195293.4585	0.9935474743	90038.74611
456	0.08095139838	195093.7437	0.9935606648	89963.00918
457	0.08086167705	195029.7112	0.993564891	89909.42312
458	0.08084833835	195005.8321	0.9935664668	89888.93226
459	0.08081874428	194848.3152	0.993576856	89807.35457
460	0.08073250054	194570.7803	0.9935951407	89659.95002
